"n","mu_true","method","media_mu","viés_mu"
30,0.5,"MM",0.526711459214338,0.000653727054505948
30,0.5,"MM",0.455919489022562,0.000442449565377867
30,0.5,"MM",0.454128684942767,0.00098450878591233
30,0.5,"MM",0.476164027944592,-0.000341674245319279
30,0.5,"MM",0.581191029839686,-0.000108940983157835
30,0.5,"MM",0.559100442846022,-0.000482317805767796
30,0.5,"MM",0.441298869580868,5.3029478945088e-05
30,0.5,"MM",0.504398552385055,5.52983124081363e-05
30,0.5,"MM",0.428766176046712,-8.1901858651201e-06
30,0.5,"MM",0.47487379698244,0.000934379867078061
30,0.5,"MM",0.467810546948636,0.000529002528688427
30,0.5,"MM",0.452320016332614,8.45724196371078e-05
30,0.5,"MM",0.450363170124161,0.000198307893264027
30,0.5,"MM",0.526403395470781,-0.000229481645076413
30,0.5,"MM",0.474434819529259,-3.49683080285712e-05
30,0.5,"MM",0.555629835845006,-0.0009427079942953
30,0.5,"MM",0.484403030159165,0.000591559320283819
30,0.5,"MM",0.550198491681902,0.000697606546898433
30,0.5,"MM",0.583934368714245,-0.000268230965935756
30,0.5,"MM",0.502294771014488,0.000131583146130043
30,0.5,"MM",0.520984613199015,-0.000588120995394292
30,0.5,"MM",0.536639490802335,-0.000166830863734924
30,0.5,"MM",0.533665919221277,-6.50971684076351e-05
30,0.5,"MM",0.512229763836865,-0.000803262877865696
30,0.5,"MM",0.494488020329924,-0.0012331495522846
30,0.5,"MM",0.494235008610678,-0.000733707756641833
30,0.5,"MM",0.534179698061307,-0.000559547684845341
30,0.5,"MM",0.475227332970457,0.000309329478387355
30,0.5,"MM",0.49322284175425,-0.000848611420290135
30,0.5,"MM",0.547439003048735,0.000350840532382657
30,0.5,"MM",0.496881049742223,-0.000201049143329857
30,0.5,"MM",0.465505821480441,-0.000559987650859239
30,0.5,"MM",0.456937088557202,0.000259742631525395
30,0.5,"MM",0.488701462192548,0.000312142123978509
30,0.5,"MM",0.436067997021979,3.90407586348673e-05
30,0.5,"MM",0.561748969546192,0.000585468852097426
30,0.5,"MM",0.515788572397664,0.000291309434576892
30,0.5,"MM",0.557570357193649,6.40127351285713e-05
30,0.5,"MM",0.54015322132453,0.000763958209136884
30,0.5,"MM",0.45962584083994,-0.000609151688367782
30,0.5,"MM",0.499796317429174,5.45578690784865e-05
30,0.5,"MM",0.451335488517195,8.87484470135647e-06
30,0.5,"MM",0.486601273343833,-0.000550308481522044
30,0.5,"MM",0.503885444926753,0.00069725301667678
30,0.5,"MM",0.547889206359695,0.000587648894185389
30,0.5,"MM",0.502658526899882,-8.86105262587478e-06
30,0.5,"MM",0.465612577315098,5.00688945125338e-05
30,0.5,"MM",0.578718704941442,-1.54387031549019e-05
30,0.5,"MM",0.496044577655155,0.000790618377583485
30,0.5,"MM",0.459629529260762,-0.000725024105186878
30,0.5,"MM",0.516198104724544,0.00120843156922856
30,0.5,"MM",0.465283477620766,3.64709490352499e-05
30,0.5,"MM",0.489372542596492,-0.000434115786421774
