"n","mu_true","method","media_mu","viés_mu"
30,1,"MM",1.07780137845768,0.00189472395525869
30,1,"MM",1.02614986609065,0.00339449701590944
30,1,"MM",1.04321881365662,-0.00190774173945218
30,1,"MM",0.962875075483436,0.00444014796932546
30,1,"MM",0.957967364713448,0.000361754059416186
30,1,"MM",0.921760136290142,-0.00255930471690258
30,1,"MM",0.931406732858356,0.00277363354258542
30,1,"MM",0.984883262434218,-0.00221888592608965
30,1,"MM",0.996722723509417,-0.00198206946287227
30,1,"MM",1.10523239309809,0.00360617950284414
30,1,"MM",0.969845233599392,-0.000167634220848978
30,1,"MM",1.0198309869692,-0.000774315384593827
30,1,"MM",0.935752977383006,-0.00380093088591349
30,1,"MM",1.04166347642002,4.67406729762754e-05
30,1,"MM",1.00185331851965,-0.00250711850216279
30,1,"MM",1.01882545557645,-0.00215401562204209
30,1,"MM",1.13471080716098,0.00195739407311546
30,1,"MM",1.07284526769307,0.00230420458122271
30,1,"MM",1.14403860016327,-0.00151740061400818
30,1,"MM",0.933072143867111,-0.002362124310758
30,1,"MM",0.99064564512058,0.000395003148039086
30,1,"MM",0.927802426874384,0.00103925484008482
30,1,"MM",0.94732841716437,0.00113839852656561
30,1,"MM",0.942223439149412,0.00165794848851142
30,1,"MM",1.02762734073465,0.0027749466736362
30,1,"MM",1.04131231600088,-0.00469006371160074
30,1,"MM",1.00014897589786,-0.00444126283838986
30,1,"MM",1.02623949705492,-0.000164938961534578
30,1,"MM",0.958307787459728,-0.00189499548320404
30,1,"MM",1.00293336514621,0.00457064825338593
30,1,"MM",1.04732891303625,-0.00198558153373551
30,1,"MM",1.00679773176694,0.000132799259282557
30,1,"MM",1.04634720791588,-0.00104587880296858
30,1,"MM",0.917300139588613,-0.00277871966855281
30,1,"MM",1.05438978113841,0.00355692601738178
30,1,"MM",0.872713515781539,-0.000552788369180268
30,1,"MM",0.953848822526754,-0.00229504291996596
30,1,"MM",0.945817857164142,-0.000794018289546505
30,1,"MM",1.03846187520972,0.000101030314320738
30,1,"MLE",0.897088389712416,-0.013987261401282
30,1,"MLE",0.962197346155923,-0.0203860960636929
30,1,"MLE",0.96346280637569,-0.0113247611364331
30,1,"MLE",0.912950685097642,0.00366324284616593
30,1,"MLE",1.01089677114393,0.010673370751962
30,1,"MLE",0.950896825385362,-0.0107190452452501
30,1,"MLE",0.96303748076525,-0.0353297661504556
30,1,"MLE",1.03000696480439,-0.0198084076358218
30,1,"MLE",1.10346788781127,-0.0114405743004742
30,1,"MLE",0.850285897252909,0.00969077151593511
30,1,"MLE",0.969741519940707,0.0399832879482296
30,1,"MLE",1.02377174104461,-0.0184687616162396
30,1,"MLE",0.904466415655694,0.00692173652105976
30,1,"MLE",0.974594046033352,-0.021769963252439
30,1,"MLE",1.13988163043146,-0.0270541659845702
