"n","mu_true","method","media_mu","viés_mu"
30,1,"MM",0.916485085126132,-3.70846364519117e-05
30,1,"MM",1.00928532572799,4.43581518529967e-05
30,1,"MM",1.06880046827817,-0.000877082581039579
30,1,"MM",1.11735302579669,0.00125049914238073
30,1,"MM",0.997680645168868,-0.00163389682035042
30,1,"MM",0.992596487564254,-0.000184655008132806
30,1,"MM",1.01607806270945,-3.80930470045282e-05
30,1,"MM",1.11596099321066,0.000517128907974396
30,1,"MM",0.95445101451189,-0.000462001362576459
30,1,"MM",1.01863677920215,8.97752577209143e-05
30,1,"MM",1.04589754703693,-0.000684679412024103
30,1,"MM",1.08514954530266,0.00021329162212691
30,1,"MM",1.08047427512564,0.000778696231328535
30,1,"MM",1.06051140088224,0.000150981795746796
30,1,"MM",1.19408552055021,9.06480349769367e-05
30,1,"MM",0.926096742939041,-0.000216865218022777
30,1,"MM",1.00180188075723,0.000531016913072557
30,1,"MM",1.137064060333,-0.00170733131531153
30,1,"MM",1.1040110088954,-0.0013278465605655
30,1,"MM",0.997538079100945,-0.00140661019363453
30,1,"MM",1.0260332848591,-0.00188531633170497
30,1,"MM",0.99268781723267,-0.000285369848635364
30,1,"MM",0.965396892789642,0.00028597274216291
30,1,"MM",0.908847282219975,-0.000237568835375179
30,1,"MM",1.04046491087936,-0.00111918034809566
30,1,"MM",1.00003116465026,0.000972327236553716
30,1,"MM",1.04730356286711,-0.00085334975004514
30,1,"MM",1.12350345316979,-0.000581649325903655
30,1,"MM",0.865894232169499,-0.00168133835437068
30,1,"MM",1.08861140099038,-0.000748049921309502
30,1,"MM",1.02069740702228,-0.000154724651769467
30,1,"MM",1.15268872167191,0.000186955988504822
30,1,"MM",1.07456146048028,0.00267966389938112
30,1,"MM",1.02506545522664,0.000505931400749837
30,1,"MM",0.959158343591794,-0.000981289055055012
30,1,"MM",0.885171244275168,-0.000512303518080515
30,1,"MM",1.06631044946333,0.00174914317648467
30,1,"MM",1.00421347714858,-0.000771877441368973
30,1,"MM",1.11170772007665,0.00130764313689302
30,1,"MM",0.951089656362543,-7.7620952259716e-05
30,1,"MM",1.14571244858751,-0.00258598237182195
30,1,"MM",1.00856111120571,-0.00289982746692696
30,1,"MM",0.949004537865763,0.000944573586623365
30,1,"MM",0.998477694715151,-0.000885730503856874
30,1,"MM",0.835626438979579,-0.000904182754651539
30,1,"MM",0.909536857137403,-0.00123917423822018
30,1,"MM",1.05778495015445,0.00168200259443196
30,1,"MM",1.15313481894334,-0.00103443405230519
30,1,"MM",0.990103288776266,-0.00164844859589464
30,1,"MM",0.989543410523142,-0.00146160025640685
30,1,"MM",0.861553451784229,0.000273118944224215
30,1,"MM",0.800610824463966,0.00103192900325033
30,1,"MM",0.994590397684532,0.00350520742721572
30,1,"MM",0.936000226409144,-0.00139504414742864
30,1,"MM",0.962406503094926,0.00173021628588144
30,1,"MM",1.00106023332327,-0.00219073837856087
30,1,"MM",0.785461214165395,-0.00210444319515535
30,1,"MM",0.971921997048432,-0.00116856144143596
30,1,"MM",1.04561512041678,-0.000415655526039727
30,1,"MM",1.0075800084095,0.000847638369150916
30,1,"MM",1.01224883039021,-0.000702470850387993
30,1,"MM",0.979677104607388,0.000466998927808215
30,1,"MM",0.946406809153666,-0.000227068196450131
